rule_id,rule_key,zone_code,municipality,rule_object,applies_to,operator,value,unit,condition,exception,description,bylaw_ref,source_page,source_url
burnaby_r1_001,lot_area,R1,Burnaby,lot_area,lot,>=,281.0,m2,Minimum Lot Area,,Minimum lot_area (lot),R1Small-Scale-Multi-Unit-Housing-District.pdf,1,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_011,dwelling_units,R1,Burnaby,dwelling_units,dwelling units,<=,3.0,units,Total Dwelling Units on a Lot 1 to 3 Units,,Maximum dwelling_units (dwelling units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_023,fire_access_corridor,R1,Burnaby,fire_access_corridor,All dwelling units,>=,1.0,m,paved or gravel fire access corridor,,Minimum fire_access_corridor (All dwelling units),R1Small-Scale-Multi-Unit-Housing-District.pdf,6,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_025,automatic_sprinkler,R1,Burnaby,automatic_sprinkler,Dwelling units more than 45 m from a street lot line,>,45.0,m,located more than 45 m from a lot line abutting a street,,Required automatic_sprinkler (Dwelling units more than 45 m from a street lot line),R1Small-Scale-Multi-Unit-Housing-District.pdf,6,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_029,dwelling_units,R1,Burnaby,dwelling_units,lot,<=,3.0,units,,,Maximum dwelling_units (lot),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_030,dwelling_units,R1,Burnaby,dwelling_units,lot,<=,2.0,units,,,Maximum dwelling_units (lot),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_031,dwelling_units,R1,Burnaby,dwelling_units,lot,<=,4.0,units,,,Maximum dwelling_units (lot),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_032,dwelling_units,R1,Burnaby,dwelling_units,lot,<=,6.0,units,,,Maximum dwelling_units (lot),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_033,lot_area,R1,Burnaby,lot_area,Small-Scale Multi-Unit 3 to 4 Units,>=,281.0,m2,,,Minimum lot_area (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_034,lot_area,R1,Burnaby,lot_area,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,>=,281.0,m2,,,Minimum lot_area (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_036,lot_coverage,R1,Burnaby,lot_coverage,Rowhouse 1 to 3 Units,<=,55.0,%,,,Maximum lot_coverage (Rowhouse 1 to 3 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_037,lot_coverage,R1,Burnaby,lot_coverage,Small-Scale Multi-Unit 1 to 2 Units,<=,40.0,%,Lots < 567 m2,,Maximum lot_coverage (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_038,lot_coverage,R1,Burnaby,lot_coverage,Small-Scale Multi-Unit 1 to 2 Units,<=,30.0,%,Lots > 567 m2,,Maximum lot_coverage (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
