rule_id,rule_key,zone_code,municipality,rule_object,applies_to,operator,value,unit,condition,exception,description,bylaw_ref,source_page,source_url
calgary_rcg_004,setback,RCG,Calgary,setback,side property line shared with another parcel,>=,3.0,m,main residential building on a corner parcel,,Minimum setback (side property line shared with another parcel),,470,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_006,setback,RCG,Calgary,setback,Backyard Suite,>=,1.5,m,rear property line,,Minimum setback (Backyard Suite),,395,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_008,setback,RCG,Calgary,setback,Backyard Suite,>=,0.6,m,into a setback area from a property line shared with a street or a lane,,Minimum setback (Backyard Suite),,396,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_012,height,RCG,Calgary,height,Backyard Suite,<=,7.5,m,,,Maximum height (Backyard Suite),,396,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_013,setback,RCG,Calgary,setback,side property line,>=,1.2,m,,,Minimum setback (side property line),,471,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_020,building_separation,RCG,Calgary,building_separation,between the closest façade of the main residential building to the closest façade of a Backyard Suite,>=,5.0,m,,,Minimum building_separation (between the closest façade of the main residential building to the closest façade of a Backyard Suite),,396,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_026,lot_coverage,RCG,Calgary,lot_coverage,all other uses,<=,45.0,%,,,Maximum lot_coverage (all other uses),,470,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_028,building_separation,RCG,Calgary,building_separation,main residential buildings,>=,6.5,m,on a laned parcel,,Minimum building_separation (main residential buildings),,470,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_055,height,RCG,Calgary,height,building,<=,11.0,m,,,Maximum height (building),,472,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_056,height,RCG,Calgary,height,main residential building,<=,8.6,m,"not located on a corner parcel, for any portion of a main residential building located between the rear property line and 60.0 per cent parcel depth or the contextual building depth average",,Maximum height (main residential building),,473,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
