source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id
burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_004__page_0001__local_006_1,lot_width,dimensional,interior_lot,>=,5,m,for Small-Scale Multi-Unit Rowhouse dwelling type,not applicable to end unit lots,"Minimum Lot Width .2 Interior Lot 5 m, except 6.2 m for end unit lots",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0067
burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_004__page_0001__local_006_2,lot_width,dimensional,interior_lot,>=,6.2,m,"for Small-Scale Multi-Unit Rowhouse dwelling type, for end unit lots",,"Minimum Lot Width .2 Interior Lot 5 m, except 6.2 m for end unit lots",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0068
burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_004__page_0001__local_006_3,lot_width,dimensional,corner_lot_street_frontage,>=,8,m,for Small-Scale Multi-Unit Rowhouse dwelling type,,Corner Lot - Street 8 m,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0069
burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_004__page_0001__local_006_4,lot_width,dimensional,corner_lot_lane_frontage,>=,6.2,m,for Small-Scale Multi-Unit Rowhouse dwelling type,,Corner Lot - Lane 6.2 m,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0070
burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_004__page_0001__local_006_5,lot_area,dimensional,lot,>=,281,m2,for Small-Scale Multi-Unit Rowhouse dwelling type,,Minimum Lot Area - 281 m2,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0071
burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_004__page_0001__local_006_6,lot_area,dimensional,lot,<=,280,m2,for Small-Scale Multi-Unit Rowhouse dwelling type,,Maximum Lot Area 280 m2,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0072
burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_004__page_0001__local_006_7,section_219_covenant_registration,administrative,subdivision_plan,required,,,"at the time of registration of the subdivision plan to create two or more rowhouse lots, to ensure that all adjoining rowhouse",,".1 At the time of registration of the subdivision plan to create two or more rowhouse lots, the registration of a Section 219 Covenant will be required to ensure that all adjoining rowhouse",['evidence_text_truncated'],gemini_text_batch,text_batch_0001,pipeline10_rule_0073
burnaby_generic_graph_pack_007__page_0002__local_001,burnaby_generic_graph_pack_007__page_0002__local_001_1,lot_area,dimensional_standard,lot,<=,280,m2,for rowhouse dwelling type,,Maximum Lot Area .1          280 m2,[],gemini_text_batch,text_batch_0002,pipeline10_rule_0074
burnaby_generic_graph_pack_007__page_0002__local_001,burnaby_generic_graph_pack_007__page_0002__local_001_2,lot_coverage,dimensional_standard,all_buildings,<=,55,%,for rowhouse dwelling type,,All Buildings               55%,[],gemini_text_batch,text_batch_0002,pipeline10_rule_0075
burnaby_generic_graph_pack_007__page_0002__local_001,burnaby_generic_graph_pack_007__page_0002__local_001_3,impervious_surface_area,dimensional_standard,lot,<=,70,%,for rowhouse dwelling type,,Impervious Surfaces          70%,[],gemini_text_batch,text_batch_0002,pipeline10_rule_0076
