source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id
page_0195__table_001,parking_90_aisle_width,motor_vehicle_parking_stall,minimum_dimension,aisle width,>=,7.20,m,Parking angle: 90 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 90 | Aisle width (metres): 7.20,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0001
page_0195__table_001,parking_90_stall_depth,motor_vehicle_parking_stall,minimum_dimension,stall depth perpendicular to aisle,>=,5.40,m,Parking angle: 90 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 90 | Stall depth perpendicular to aisle (metres): 5.40,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0002
page_0195__table_001,parking_90_stall_width_dwelling,motor_vehicle_parking_stall,minimum_dimension,stall width parallel to aisle,>=,2.50,m,Parking angle: 90 degrees; Dwelling Units,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 90 | Stall width parallel to aisle (metres) | Dwelling Units: 2.50,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0003
page_0195__table_001,parking_90_stall_width_other,motor_vehicle_parking_stall,minimum_dimension,stall width parallel to aisle,>=,2.60,m,Parking angle: 90 degrees; Other Uses,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 90 | Stall width parallel to aisle (metres) | Other Uses: 2.60,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0004
page_0195__table_001,parking_75_aisle_width,motor_vehicle_parking_stall,minimum_dimension,aisle width,>=,6.12,m,Parking angle: 75 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 75 | Aisle width (metres): 6.12,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0005
page_0195__table_001,parking_75_stall_depth,motor_vehicle_parking_stall,minimum_dimension,stall depth perpendicular to aisle,>=,5.64,m,Parking angle: 75 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 75 | Stall depth perpendicular to aisle (metres): 5.64,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0006
page_0195__table_001,parking_75_stall_width_dwelling,motor_vehicle_parking_stall,minimum_dimension,stall width parallel to aisle,>=,2.59,m,Parking angle: 75 degrees; Dwelling Units,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 75 | Stall width parallel to aisle (metres) | Dwelling Units: 2.59,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0007
page_0195__table_001,parking_75_stall_width_other,motor_vehicle_parking_stall,minimum_dimension,stall width parallel to aisle,>=,2.69,m,Parking angle: 75 degrees; Other Uses,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 75 | Stall width parallel to aisle (metres) | Other Uses: 2.69,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0008
page_0195__table_001,parking_60_aisle_width,motor_vehicle_parking_stall,minimum_dimension,aisle width,>=,4.82,m,Parking angle: 60 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 60 | Aisle width (metres): 4.82,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0009
page_0195__table_001,parking_60_stall_depth,motor_vehicle_parking_stall,minimum_dimension,stall depth perpendicular to aisle,>=,5.49,m,Parking angle: 60 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 60 | Stall depth perpendicular to aisle (metres): 5.49,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0010
page_0195__table_001,parking_60_stall_width_dwelling,motor_vehicle_parking_stall,minimum_dimension,stall width parallel to aisle,>=,2.89,m,Parking angle: 60 degrees; Dwelling Units,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 60 | Stall width parallel to aisle (metres) | Dwelling Units: 2.89,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0011
